,country_name,continent_code,gdp_per_cap,life_expectancy,total_population,bubble_color_hex,egdecolor_bubble,size,country_fontsize
0,China,AS,17700,78.0,1440000000,#ff5872,#7c0012,84.8528137423857,24
1,India,AS,6820,71.2,1390000000,#ff5872,#7c0012,83.36666000266533,24
2,United States,AM,63500,79.0,333000000,#80eb00,#345b04,40.80441152620633,15
3,Indonesia,AS,11800,71.8,276000000,#ff5872,#7c0012,37.14835124201342,15
4,Pakistan,AS,4570,66.2,225000000,#ff5872,#7c0012,33.54101966249684,14
5,Brazil,AM,14400,76.3,214000000,#80eb00,#345b04,32.71085446759225,14
6,Nigeria,AF,4920,65.1,211000000,#00d6e9,#015c63,32.48076353782343,13
7,Bangladesh,AS,5030,75.1,166000000,#ff5872,#7c0012,28.809720581775867,13
8,Russia,EU,27200,73.3,146000000,#ffe700,#5e5500,27.018512172212592,13
9,Mexico,AM,18700,75.8,130000000,#80eb00,#345b04,25.495097567963924,13
10,Japan,AS,41200,85.1,126000000,#ff5872,#7c0012,25.099800796022265,13
11,Ethiopia,AF,2330,69.6,118000000,#00d6e9,#015c63,24.289915602982237,13
12,Philippines,AS,8370,72.1,111000000,#ff5872,#7c0012,23.558437978779494,12
13,Egypt,AF,12000,71.3,104000000,#00d6e9,#015c63,22.80350850198276,12
14,Vietnam,AS,8650,74.7,98200000,#ff5872,#7c0012,22.15851980616034,12
15,"Congo, Dem. Rep.",AF,1070,65.7,92400000,#00d6e9,#015c63,21.494185260204677,12
16,Iran,AS,12600,78.2,85000000,#ff5872,#7c0012,20.615528128088304,12
17,Turkey,AS,29800,78.9,85000000,#ff5872,#7c0012,20.615528128088304,12
18,Germany,EU,52900,81.5,83900000,#ffe700,#5e5500,20.481699148264042,12
19,Thailand,AS,17700,78.8,70000000,#ff5872,#7c0012,18.708286933869708,12
20,United Kingdom,EU,43900,81.3,68200000,#ffe700,#5e5500,18.466185312619388,12
21,France,EU,44600,83.1,65400000,#ffe700,#5e5500,18.083141320025124,12
22,Tanzania,AF,2600,67.9,61500000,#00d6e9,#015c63,17.53567791675018,12
23,Italy,EU,40400,83.4,60400000,#ffe700,#5e5500,17.378147196982766,11
24,South Africa,AF,11600,65.6,60000000,#00d6e9,#015c63,17.320508075688775,11
25,Kenya,AF,4450,67.0,55000000,#00d6e9,#015c63,16.583123951777,11
26,Myanmar,AS,4770,69.9,54800000,#ff5872,#7c0012,16.55294535724685,11
27,Colombia,AM,14000,80.5,51300000,#80eb00,#345b04,16.015617378046965,11
28,South Korea,AS,43900,83.2,51300000,#ff5872,#7c0012,16.015617378046965,11
29,Uganda,AF,2140,66.9,47100000,#00d6e9,#015c63,15.346009253222807,11
30,Spain,EU,38800,83.3,46700000,#ffe700,#5e5500,15.280706789936126,11
31,Argentina,AM,20600,76.9,45600000,#80eb00,#345b04,15.0996688705415,11
32,Sudan,AF,3640,71.0,44900000,#00d6e9,#015c63,14.983324063771697,11
33,Algeria,AF,10700,76.6,44600000,#00d6e9,#015c63,14.933184523068078,11
34,Ukraine,EU,12900,74.1,43500000,#ffe700,#5e5500,14.747881203752625,11
35,Iraq,AS,9310,73.6,41200000,#ff5872,#7c0012,14.352700094407323,11
36,Afghanistan,AS,1950,64.0,39800000,#ff5872,#7c0012,14.106735979665885,11
37,Canada,AM,47600,82.5,38100000,#80eb00,#345b04,13.80217374184226,11
38,Poland,EU,33500,78.4,37800000,#ffe700,#5e5500,13.74772708486752,11
39,Morocco,AF,7160,73.8,37300000,#00d6e9,#015c63,13.656500283747663,11
40,Saudi Arabia,AS,44500,74.8,35300000,#ff5872,#7c0012,13.285330255586423,11
41,Angola,AF,6060,65.8,33900000,#00d6e9,#015c63,13.019216566291536,11
42,Uzbekistan,AS,7200,68.7,33900000,#ff5872,#7c0012,13.019216566291536,11
43,Peru,AM,12100,80.7,33400000,#80eb00,#345b04,12.922847983320086,11
44,Malaysia,AS,27800,75.3,32799999,#ff5872,#7c0012,12.806248279648495,11
45,Mozambique,AF,1240,59.3,32200000,#00d6e9,#015c63,12.68857754044952,11
46,Ghana,AF,5510,66.9,31700000,#00d6e9,#015c63,12.589678312014172,11
47,Yemen,AS,2370,67.9,30500000,#ff5872,#7c0012,12.349089035228468,11
48,Nepal,AS,3360,71.6,29700000,#ff5872,#7c0012,12.186057606953941,11
49,Venezuela,AM,5290,75.1,28700000,#80eb00,#345b04,11.979148550710939,11
50,Madagascar,AF,1550,66.2,28400000,#00d6e9,#015c63,11.916375287812984,10
51,Cameroon,AF,3480,64.0,27200000,#00d6e9,#015c63,11.661903789690601,10
52,Cote d'Ivoire,AF,5370,64.9,27100000,#00d6e9,#015c63,11.640446726822816,10
53,North Korea,AS,1670,73.5,25900000,#ff5872,#7c0012,11.379806676741042,10
54,Australia,AS,50100,83.2,25800000,#ff5872,#7c0012,11.357816691600547,10
55,Niger,AF,1230,63.2,25100000,#00d6e9,#015c63,11.20267825120404,9
56,Taiwan,AS,57000,80.6,23900000,#ff5872,#7c0012,10.931605554537724,9
57,Sri Lanka,AS,13000,77.6,21500000,#ff5872,#7c0012,10.36822067666386,9
58,Burkina Faso,AF,2160,62.5,21500000,#00d6e9,#015c63,10.36822067666386,9
59,Mali,AF,2230,62.6,20900000,#00d6e9,#015c63,10.222524150130436,8
60,Malawi,AF,1030,65.6,19600000,#00d6e9,#015c63,9.899494936611665,8
61,Chile,AM,24300,80.5,19200000,#80eb00,#345b04,9.797958971132712,8
62,Romania,EU,30700,75.8,19100000,#ffe700,#5e5500,9.772410142846033,8
63,Kazakhstan,AS,25800,72.3,19000000,#ff5872,#7c0012,9.746794344808963,8
64,Zambia,AF,3170,63.8,18900000,#00d6e9,#015c63,9.72111104761179,8
65,Syria,AS,3980,75.8,18300000,#ff5872,#7c0012,9.565563234854496,8
66,Guatemala,AM,8540,73.0,18200000,#80eb00,#345b04,9.539392014169456,8
67,Ecuador,AM,10500,76.8,17900000,#80eb00,#345b04,9.460443964212251,8
68,Senegal,AF,3410,69.0,17200000,#00d6e9,#015c63,9.273618495495704,8
69,Netherlands,EU,56000,82.0,17200000,#ffe700,#5e5500,9.273618495495704,8
70,Chad,AF,1500,61.0,16900000,#00d6e9,#015c63,9.192388155425117,8
71,Cambodia,AS,4340,70.3,16900000,#ff5872,#7c0012,9.192388155425117,8
72,Somalia,AF,673,59.1,16399999,#00d6e9,#015c63,9.055384862058597,8
73,Zimbabwe,AF,2590,61.5,15100000,#00d6e9,#015c63,8.689073598491383,8
74,Guinea,AF,2710,61.9,13500000,#00d6e9,#015c63,8.215838362577491,8
75,Rwanda,AF,2250,69.2,13300000,#00d6e9,#015c63,8.154753215150045,8
76,Benin,AF,3330,65.1,12500000,#00d6e9,#015c63,7.905694150420948,8
77,Burundi,AF,719,64.5,12300000,#00d6e9,#015c63,7.842193570679061,8
78,Tunisia,AF,9980,78.1,11900000,#00d6e9,#015c63,7.713624310270756,8
79,Bolivia,AM,8250,72.5,11800000,#80eb00,#345b04,7.681145747868608,8
80,Belgium,EU,50100,81.7,11600000,#ffe700,#5e5500,7.615773105863909,8
81,Haiti,AM,2760,64.4,11500000,#80eb00,#345b04,7.582875444051551,8
82,South Sudan,AF,1800,64.3,11400000,#00d6e9,#015c63,7.54983443527075,8
83,Cuba,AM,10200,78.9,11300000,#80eb00,#345b04,7.516648189186454,8
84,Dominican Republic,AM,17800,73.5,11000000,#80eb00,#345b04,7.416198487095663,8
85,Czech Republic,EU,39900,79.7,10700000,#ffe700,#5e5500,7.314369419163897,8
86,Greece,EU,29200,81.3,10400000,#ffe700,#5e5500,7.211102550927978,8
87,Jordan,AS,9830,78.5,10300000,#ff5872,#7c0012,7.176350047203662,8
88,Azerbaijan,AS,13800,71.2,10200000,#ff5872,#7c0012,7.14142842854285,8
89,Sweden,EU,51300,83.1,10200000,#ffe700,#5e5500,7.14142842854285,8
